Suma de Any,Suma de Coneguts,Suma de Detencions,Suma de Mes,Àrea Bàsica Policial (ABP),Nom mes,Suma de Resolts,Regió Policial (RP),Tipus de fet,Títol Codi Penal
26221,1880,97,117,ABP Alt Empordà - Figueres,setembre,302,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,532,112,117,ABP Alt Empordà - Figueres,setembre,151,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,729,40,117,ABP Alt Empordà - Figueres,setembre,66,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,164,79,117,ABP Alt Empordà - Figueres,setembre,81,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,87,15,117,ABP Alt Empordà - Figueres,setembre,48,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,31,1,52,ABP Alt Empordà - Roses,abril,22,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,883,14,52,ABP Alt Empordà - Roses,abril,69,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,911,86,52,ABP Alt Empordà - Roses,abril,122,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,325,13,52,ABP Alt Empordà - Roses,abril,15,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,34,10,52,ABP Alt Empordà - Roses,abril,19,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,50,2,52,ABP Alt Empordà - Roses,abril,24,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24210,48,1,96,ABP Alt Empordà - Roses,agost,22,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,3471,57,104,ABP Alt Empordà - Roses,agost,144,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,753,52,104,ABP Alt Empordà - Roses,agost,85,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,965,17,104,ABP Alt Empordà - Roses,agost,26,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,141,37,104,ABP Alt Empordà - Roses,agost,42,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
