 Visitants estrangers amb destinació principal a Catalunya. Per motiu del viatge, tipus de viatger, via d'accés, país de residència, forma d'organització i mes
Tipus de viatger / Motiu del viatge / temps
Mètriques: Visitants
Destinació principal: Catalunya

Via d'accés:Total
País de residència:Total
forma d'organització viatge:Total
(p);"Dada provisional"
(*);"Estimació amb alta variabilitat"
(u);"Dada amb baixa fiabilitat"
(:);"Dada no disponible"
Font: Idescat, a partir de dades de l'Estadística de moviments turístics en frontera i Enquesta de despesa turística de l'INE.
https://www.idescat.cat/visor/?id=turest&dataset=1&cc=true&cm=factor_ind_factor&cd=t.mes,terr.ccaa,mv.mv,tv.tv&cf=t.mes[202405]&rows=temps_24050&filters=territori_emtf_25077.09&rows=n4_emtf_dim_motiu_princ_viatg_25076&columns=n4_emtf_dim_codi_questionari_25072&filters=concept.factor_ind_factor&tc=true&tm=factor_ind_factor&td=t.mes,terr.ccaa,mv.mv,tv.tv,factor_ind_factor#
"temps";"Destinació principal";"Motiu del viatge";"Tipus de viatger";Mètriques;Valors;estatus;Dada provisional;
"04/2019";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1433,4";"";""
"04/2019";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"429,9";"";""
"04/2019";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1863,3";"";""
"03/2019";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1024,4";"";""
"03/2019";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"268,3";"";""
"03/2019";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1292,8";"";""
"02/2019";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"815,1";"";""
"02/2019";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"247,8";"";""
"02/2019";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1063";"";""
"01/2019";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"745,6";"";""
"01/2019";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"147,2";"";""
"01/2019";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"892,8";"";""
"12/2018";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"782,3";"";""
"12/2018";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"196,6";"";""
"12/2018";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"978,8";"";""
"11/2018";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"835,9";"";""
"11/2018";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"271,7";"";""
"11/2018";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1107,6";"";""
"10/2018";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1455,5";"";""
"10/2018";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"377,4";"";""
"10/2018";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1832,9";"";""
