id_infant_jove,data_entrada_sistema,any_entrada_sistema,mes_entrada_sistema,Servei_territorial_gestio_cas,data_naixement_infant,sexe_infant,Origen_infant
85634,31/10/2015,2015,10Octubre,Barcelona ciutat,27/01/2002,Nois,Marroc
85635,31/10/2015,2015,10Octubre,Barcelona comarques,22/07/1999,Nois,Altra
85632,31/10/2015,2015,10Octubre,Barcelona ciutat,27/10/1999,Nois,Magreb (excloent Marroc)
85633,31/10/2015,2015,10Octubre,Barcelona ciutat,04/01/2000,Nois,Marroc
85631,31/10/2015,2015,10Octubre,Barcelona comarques,18/09/2000,Nois,Marroc
85689,02/11/2015,2015,11Novembre,Barcelona comarques,27/10/2000,Nois,Marroc
85690,02/11/2015,2015,11Novembre,Barcelona ciutat,31/12/1999,Nois,Països Subsharians
85751,04/11/2015,2015,11Novembre,Girona,25/04/2001,Nois,Marroc
85749,04/11/2015,2015,11Novembre,Barcelona ciutat,28/08/1999,Nois,Marroc
85769,05/11/2015,2015,11Novembre,Barcelona comarques,05/01/2001,Nois,Marroc
85827,07/11/2015,2015,11Novembre,Barcelona comarques,19/12/2000,Nois,Marroc
85914,10/11/2015,2015,11Novembre,Girona,13/01/1999,Nois,Marroc
85912,10/11/2015,2015,11Novembre,Girona,31/01/1999,Nois,Marroc
85951,11/11/2015,2015,11Novembre,Àrea Metropolitana BCN,31/12/1998,Noies,Països Subsharians
85915,11/11/2015,2015,11Novembre,Barcelona ciutat,27/11/1998,Nois,Marroc
85953,12/11/2015,2015,11Novembre,Barcelona comarques,31/12/2000,Nois,Marroc
85952,12/11/2015,2015,11Novembre,Barcelona comarques,31/12/2000,Nois,Marroc
86012,14/11/2015,2015,11Novembre,Barcelona ciutat,13/04/2001,Nois,Marroc
86013,14/11/2015,2015,11Novembre,Barcelona comarques,31/12/2000,Nois,Marroc
86031,16/11/2015,2015,11Novembre,Girona,31/12/1999,Nois,Marroc
86062,18/11/2015,2015,11Novembre,Barcelona ciutat,31/12/1998,Nois,Magreb (excloent Marroc)
86094,18/11/2015,2015,11Novembre,Barcelona ciutat,14/09/1999,Nois,Altra
86063,18/11/2015,2015,11Novembre,Barcelona ciutat,02/02/1999,Nois,Magreb (excloent Marroc)
86134,19/11/2015,2015,11Novembre,Barcelona ciutat,20/04/1999,Nois,Altra
86150,21/11/2015,2015,11Novembre,Barcelona comarques,22/04/1999,Nois,Marroc
86153,21/11/2015,2015,11Novembre,Barcelona ciutat,05/07/1998,Nois,Marroc
86149,21/11/2015,2015,11Novembre,Tarragona,18/03/1999,Nois,Marroc
86155,22/11/2015,2015,11Novembre,Girona,25/06/2002,Nois,Marroc
86156,23/11/2015,2015,11Novembre,Barcelona ciutat,31/12/2000,Nois,Marroc
86157,23/11/2015,2015,11Novembre,Barcelona ciutat,31/12/2005,Nois,Marroc
86173,23/11/2015,2015,11Novembre,Barcelona comarques,06/01/1999,Nois,Marroc
86236,25/11/2015,2015,11Novembre,Barcelona ciutat,20/05/1999,Nois,Marroc
86235,25/11/2015,2015,11Novembre,Barcelona ciutat,22/05/1999,Nois,Marroc
86311,27/11/2015,2015,11Novembre,Girona,06/01/1999,Nois,Marroc
86319,28/11/2015,2015,11Novembre,Barcelona ciutat,11/10/1999,Nois,Marroc
86318,28/11/2015,2015,11Novembre,Barcelona ciutat,31/12/1997,Nois,Marroc
86321,29/11/2015,2015,11Novembre,Barcelona ciutat,31/12/2002,Nois,Marroc
86472,03/12/2015,2015,12Desembre,Barcelona comarques,16/10/2000,Nois,Marroc
86485,04/12/2015,2015,12Desembre,Barcelona ciutat,31/12/1997,Nois,Magreb (excloent Marroc)
86488,05/12/2015,2015,12Desembre,Barcelona comarques,01/02/1999,Nois,Marroc
